postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
88400,Ristijärvi,28.21433065906829,64.50427668200365,0.0,0.0,0.0,0.0
52300,Ristiina,27.258847856682465,61.506531043582974,0.0,0.0,0.0,0.0
11130,Riihimäki,24.781995168266103,60.73328163337401,27.0,0.0,0.0,27.0
73900,Rautavaara,28.30374995156144,63.49765017229888,0.0,0.0,0.0,0.0
26100,Rauma,21.528775359243497,61.13424268021762,5.0,16.0,0.0,21.0
97700,Ranua,26.510539329177327,65.93304368290647,0.0,0.0,0.0,0.0
92500,Rantsila,25.651773964954636,64.50614939539575,0.0,0.0,0.0,0.0
58900,Rantasalmi,28.298966200487047,62.067903592883965,0.0,0.0,0.0,0.0
92120,Raahe,24.50649060000291,64.68336540625494,10.0,6.0,0.0,16.0
86800,Pyhäsalmi,25.974455319342397,63.682279828608166,0.0,0.0,0.0,0.0
86100,Pyhäjoki,24.257715318026598,64.4648261536242,4.0,0.0,0.0,4.0
52200,Puumala,28.184668928377295,61.534805215046326,0.0,0.0,0.0,0.0
89200,Puolanka,27.642373803354086,64.86085630202132,0.0,0.0,0.0,0.0
58500,Punkaharju,29.396260647459446,61.75640489242565,0.0,0.0,0.0,0.0
92600,Pulkkila,25.867238781134304,64.27188786824699,7.0,0.0,0.0,7.0
93100,Pudasjärvi,26.995391895209387,65.35907877805084,7.0,0.0,0.0,7.0
97900,Posio,28.165167001579245,66.11191895246174,8.0,0.0,0.0,8.0
6150,Porvoo,25.70036857895064,60.3962175083843,14.0,10.0,0.0,24.0
28100,Pori,21.73736968509728,61.49429625229494,11.0,19.0,0.0,30.0
28360,Pori,21.826310331497318,61.47541867793858,11.0,19.0,0.0,30.0
28430,Pori,21.84917591360613,61.45052268393097,11.0,19.0,0.0,30.0
28600,Pori,21.737740881652954,61.4942933447107,11.0,19.0,0.0,30.0
83700,Polvijärvi,29.36868414442526,62.85879746670243,0.0,0.0,0.0,0.0
33950,Pirkkala,23.71987077150761,61.46600976057543,8.0,12.0,0.0,20.0
33960,Pirkkala,23.6902921106694,61.4579276079784,8.0,12.0,0.0,20.0
44800,Pihtipudas,25.573794507024925,63.3662800801413,0.0,0.0,0.0,0.0
68600,Pietarsaari,22.703759402075086,63.66604770844011,4.0,7.0,0.0,11.0
72400,Pielavesi,26.763467731889648,63.23106313537245,10.0,0.0,0.0,10.0
76100,Pieksämäki,27.16545529002884,62.30020827869491,15.0,0.0,0.0,15.0
41900,Petäjävesi,25.186356755507564,62.25658785802173,0.0,0.0,0.0,0.0
61100,Peräseinäjoki,23.06590745998457,62.571714843893005,0.0,0.0,0.0,0.0
25500,Perniö,23.12175988222157,60.20418880006968,16.0,0.0,0.0,16.0
69950,Perho,24.426724358519397,63.21269176901507,0.0,0.0,0.0,0.0
16320,Pennala,25.673940591631524,60.89558811609802,0.0,0.0,0.0,0.0
95700,Pello,23.96174022287395,66.77165844628726,0.0,0.0,0.0,0.0
13720,Parola,24.38576994854989,61.05984316310459,7.0,0.0,0.0,7.0
39700,Parkano,23.023285162053792,62.01057142520378,11.0,2.0,0.0,13.0
59100,Parikkala,29.502641720238064,61.55626362653975,0.0,0.0,0.0,0.0
21600,Parainen,22.300676263715292,60.304659330961464,12.0,0.0,0.0,12.0
88300,Paltamo,27.837561343656034,64.40728533461018,0.0,0.0,0.0,0.0
21530,Paimio,22.685662812447443,60.45806999724599,11.0,0.0,0.0,11.0
17500,Padasjoki,25.280844865142267,61.35065263936794,9.0,0.0,0.0,9.0
83500,Outokumpu,29.019128948580335,62.72724867096333,12.0,0.0,0.0,12.0
90600,Oulu,25.538740305321706,65.04217731627521,41.0,31.0,16.0,88.0
86300,Oulainen,24.81652758564485,64.26864744987654,6.0,0.0,0.0,6.0
35300,Orivesi,24.36751791131955,61.69175780570945,23.0,0.0,0.0,23.0
16300,Orimattila,25.734258624324156,60.8049405775162,0.0,0.0,0.0,0.0
66800,Oravainen,22.37322772938416,63.29154221692506,0.0,0.0,0.0,0.0
64200,Närpiö,21.3925962011416,62.476172264761836,0.0,0.0,0.0,0.0
1900,Nurmijärvi,24.838345751825074,60.455413912091736,12.0,13.0,0.0,25.0
75530,Nurmes,29.12118008031048,63.55035554796031,6.0,8.0,0.0,14.0
3100,Nummela,24.32208295485893,60.33250201698688,20.0,0.0,0.0,20.0
37150,Nokia,23.56643604445804,61.504692471682006,23.0,23.0,0.0,46.0
